General Standards,Remarks,Test Case ID,Title,Project Initiative,Priority,Automatability,Automation Status,Testing Type,Status,Testing Phase,Pre Conditions,Test Steps,Expected Result
Passed,,C1097781,[Jarvis] 011Verify that the system saves the updated ID Type when the agent submits the modifications.,2025 GRC BAU Enhancements,3,Automatable,Not Started,web,New,"Sprint Testing, BE Regression","1. User has Access in Jarvis Portal
2. User has L3 data on jarvis","1. Login to Jarvis Portal
2. Go to CRP Management
3. Search mobtel
4. Click the searched application
5. Click Modify button
6. Click Select ID Type dropdown
7. Select New ID Type
8. Click Request for Approval
9. Verify the system saves the modified application",The system saves the updated ID Type when the agent submits the modifications.
Passed,,C1097782,[Jarvis] 012Verify that the system successfully displays the selected ID type in Queue-Portal (On-going Application) page when the modified application was already submitted for approval.,2025 GRC BAU Enhancements,3,Automatable,Not Started,web,New,"Sprint Testing, BE Regression","1. User has Access in Jarvis Portal
2. User has L3 data on jarvis","1. Login to Jarvis Portal
2. Go to CRP Management
3. Search mobtel
4. Click the searched application
5. Click Modify button
6. Click Select ID Type dropdown
7. Select New ID Type
8. Click Request for Approval
9. Go to Queue Portal
10. Search the modified application
11. Verify the new ID Type on the on-going application",The system successfully displays the selected ID type in Queue-Portal (On-going Application) page when the modified application was already submitted for approval.
Passed,,C1097783,"[Jarvis] 013Verify that the correct updated ID Type is displayed when viewing the application again in CRP Management, QA View, Trackings, and Account Maintenance.",2025 GRC BAU Enhancements,3,Automatable,Not Started,web,New,"Sprint Testing, BE Regression","1. User has Access in Jarvis Portal
2. User has L3 data on jarvis","1. Login to Jarvis Portal
2. Go to CRP Management
3. Search mobtel
4. Click the searched application
5. Click Modify button
6. Click Select ID Type dropdown
7. Select New ID Type
8. Click Request for Approval
9. Go to Queue Portal
10. Search the modified application
11. Verify the new ID Type on the on-going application
12. Approve Modification
13. Verify the Modified ID Type application on CRP Management, QA View, Trackings, and Account Maintenance.","The correct updated ID Type is displayed when viewing the application on CRP Management, QA View, Trackings, and Account Maintenance."
Passed,,C1098268,"[Jarvis] 001Verify that when accessing the CRP Manegement in Jarvis as CDI-LEAD MAKER the ""other fields"" are enabled for editing a profile",2025 GRC BAU Enhancements,3,Automatable,Not Started,web,New,"Sprint Testing, BE Regression",,"1. Login to Jarvis Portal
2. Go to CRP Management
3. Search mobtel
4. Click Modify
5. Update the dollowing ""other fields"" Expected Monthly Transaction Nature of Work Purpose of Account Nationality Employment Type Country of Domicile (Mobtel) Source of Funds
6. Click Save
7. Check Queue modules
8. ","The following ""other fields"" that can be modify:
Expected Monthly Transaction
Nature of Work
Purpose of Account
Nationality
Employment Type
Country of Domicile (Mobtel)
Source of Funds"
Passed,,C1098269,"[Jarvis] 002Verify that when accessing the CRP Manegement in Jarvis as KYC Leads Maker (Organic) the ""other fields"" are enabled for editing a profile",2026 GRC BAU Enhancements,3,Automatable,Not Started,web,New,"Sprint Testing, BE Regression",,"1. Login to Jarvis Portal
2. Go to CRP Management
3. Search mobtel
4. Click Modify
5. Update the dollowing ""other fields"" Expected Monthly Transaction Nature of Work Purpose of Account Nationality Employment Type Country of Domicile (Mobtel) Source of Funds
6. Click Save
7. Check Queue modules
8. ","The following ""other fields"" that can be modify:
Expected Monthly Transaction
Nature of Work
Purpose of Account
Nationality
Employment Type
Country of Domicile (Mobtel)
Source of Funds"
Passed,,C1098270,[Jarvis] 003Verify that saving changes after editing the enabled fields shall be successful,2027 GRC BAU Enhancements,3,Automatable,Not Started,web,New,"Sprint Testing, BE Regression",,"1. Login to Jarvis Portal
2. Go to CRP Management
3. Search mobtel
4. Click Modify
5. Update the dollowing ""other fields"" Expected Monthly Transaction Nature of Work Purpose of Account Nationality Employment Type Country of Domicile (Mobtel) Source of Funds
6. Click Save
7. Check Queue modules
8. ","The following ""other fields"" that can be modify after saving changes:
Expected Monthly Transaction
Nature of Work
Purpose of Account
Nationality
Employment Type
Country of Domicile (Mobtel)
Source of Funds"
Passed,,C1098271,"[Jarvis] 004Verify that the system successfully displays the selected  ""other fields"" in Queue modules (On-going Application) page when the modified application was already submitted for approval.",2028 GRC BAU Enhancements,3,Automatable,Not Started,web,New,"Sprint Testing, BE Regression",,"1. Login to Jarvis Portal
2. Go to CRP Management
3. Search mobtel
4. Click Modify
5. Update the dollowing ""other fields"" Expected Monthly Transaction Nature of Work Purpose of Account Nationality Employment Type Country of Domicile (Mobtel) Source of Funds
6. Click Save
7. Check Queue modules
8. ","The system successfully displays the following ""other fields"" that can be modify :
Expected Monthly Transaction
Nature of Work
Purpose of Account
Nationality
Employment Type
Country of Domicile (Mobtel)
Source of Funds"
Passed,,C1098272,"[Jarvis] 005Verify that as CDI-LEAD MAKER can modify an existing application and change the ""other fields""",2029 GRC BAU Enhancements,3,Automatable,Not Started,web,New,"Sprint Testing, BE Regression",,"1. Login to Jarvis Portal
2. Go to CRP Management
3. Search mobtel
4. Click Modify
5. Update the dollowing ""other fields"" Expected Monthly Transaction Nature of Work Purpose of Account Nationality Employment Type Country of Domicile (Mobtel) Source of Funds
6. Click Save
7. Check Queue modules
8. ","CDI-LEAD MAKER can modify an existing application.
The following ""other fields"" that can be modify:
Expected Monthly Transaction
Nature of Work
Purpose of Account
Nationality
Employment Type
Country of Domicile (Mobtel)
Source of Funds"
Passed,,C1098273,"[Jarvis] 006Verify that as KYC Leads Maker (Organic) can modify an existing application and change the ""other fields""",2030 GRC BAU Enhancements,3,Automatable,Not Started,web,New,"Sprint Testing, BE Regression",,"1. Login to Jarvis Portal
2. Go to CRP Management
3. Search mobtel
4. Click Modify
5. Update the dollowing ""other fields"" Expected Monthly Transaction Nature of Work Purpose of Account Nationality Employment Type Country of Domicile (Mobtel) Source of Funds
6. Click Save
7. Check Queue modules
8. ","KYC Leads Maker (Organic) can modify an existing application.
The following ""other fields"" that can be modify:
Expected Monthly Transaction
Nature of Work
Purpose of Account
Nationality
Employment Type
Country of Domicile (Mobtel)
Source of Funds"
Passed,,C1098274,"[Jarvis] 007Verify that the correct updated ""other fields"" is displayed when viewing the application again in CRP Management, QA View, Trackings, and Account Maintenance.",2031 GRC BAU Enhancements,3,Automatable,Not Started,web,New,"Sprint Testing, BE Regression",,"1. Login to Jarvis Portal
2. Go to CRP Management
3. Search mobtel
4. Click Modify
5. Update the dollowing ""other fields"" Expected Monthly Transaction Nature of Work Purpose of Account Nationality Employment Type Country of Domicile (Mobtel) Source of Funds
6. Click Save
7. Check Queue modules
8. ","The correct updated ""other fields"" is displayed when viewing the application again in CRP Management, QA View, Trackings, and Account Maintenance."
Passed,,C1098275,"[Jarvis] 008Verify that the ""other fields"" shall not be editable on other Jarvis Queues",2032 GRC BAU Enhancements,3,Automatable,Not Started,web,New,"Sprint Testing, BE Regression",,"1. Login to Jarvis Portal
2. Go to CRP Management
3. Search mobtel
4. Click Modify
5. Update the dollowing ""other fields"" Expected Monthly Transaction Nature of Work Purpose of Account Nationality Employment Type Country of Domicile (Mobtel) Source of Funds
6. Click Save
7. Check Queue modules
8. ","The ""other fields"" shall not be editable in the following modules:
Queue In-app
Queue Portal
Queue GCash Jr
Queue Intl
Account Maintenance
Trackings"
Passed,,C1098276,"[Jarvis] 009Verify that agents other than CDI-LEAD MAKER / KYC Leads Maker (Organic) shall not be able to modify on the ""other fields""",2033 GRC BAU Enhancements,3,Automatable,Not Started,web,New,"Sprint Testing, BE Regression",,"1. Login to Jarvis Portal
2. Go to CRP Management
3. Search mobtel
4. User must not be able to click Modify","The following agents shall not be able to modify on the ""other fields"":
-Maker
-Jarvis Admin
-QA Maker (Operations and Customer Experience-OPERATION QUALITY ASSURANCE AND CONTROL - QA Maker)"
Passed,,C1138464,[IS-JAR-WEB-2965][Unlink Device - Transaction History][2.2] Verify if there should only have a maximum of Ten () rows to be displayed under the Device History tab,BE Regression,3,Automatable,Not Started,web,New,"BE Regression, BE Sanity, Pre-Test, Post-Test",,"1. User should have access in Transaction History Page\\
2. Go to Jarvis Portal\\
3. Click Ellipsis in Nav Bar or Nav Bar\\
4. Navigate Transaction History\\
5. Click the NON-FIN Toggle button\\
6. Click Available Transaction Types dropdown\\
7. Check the newly added checkbox in dropdown list\\
8. Select Device Management checkbox\\
9. Click OK\\
10. Enter Mobtel in Mobile number field\\
11. Click Search\\
12. Click Device History Tab\\
13. Verify rows\\",there should only have a maximum of Ten (10) rows to be displayed under the Device History tab
Passed,,C1138472,"[IS-JAR-WEB-2908][Success Unlink Device via Jarvis - L3] Verify if after success unlink, unlink record will display in Device History",BE Regression,3,Automatable,Not Started,web,New,"BE Regression, BE Sanity, Pre-Test, Post-Test",,"1. Should have access on Jarvis Portal\\
2. Number should be L3\\ Step/s:\\
3. Log-in to Jarvis Portal\\
4. Go to Transaction History\\
5. Click Non-Fin then Select device Mangement checkbox in Available Transaction Types dropdown\\
6. Search a number\\
7. Click Device History Tab\\
8. Validate the result in table\\","Unlinked device should display in Device History\\
Header 'link_ID' should be displayed under Device Information Tab\\
link_id value is link id from the list device API (link ID of the device to be unlink)\\
Header 'cxm_user_id' should be displayed under Device Information Tab\\
if unlink was initiated by cxm agent: cxm_user_id value = agent's ldap username (Sample: zjuan-d.cruz)\\
Header 'link_date' should be displayed under Device Information Tab\\
link_date"" this is the date when the device was linked to another device..\\
Format:  MMMM DD, YYYY   HH:MM(AM/PM)\\
Header 'unlink_date' should be displayed under Device Information Tab\\
this is the date when the device was unlink to another device.\\
Format:  MMMM DD, YYYY   HH:MM(AM/PM)\\
sample: Aug 17, 2023  10:10AM""\\
Should be sorted by Link Date from oldest to latest"
Passed,,C1138478,"[IS-JAR-WEB-2914] [Success Unlink Device via Jarvis - L1] Verify if after success unlink, unlink record will display in Device History",BE Regression,3,Automatable,Not Started,web,New,"BE Regression, BE Sanity, Pre-Test, Post-Test",,"1. Should have access on Jarvis Portal\\
2. Number should be L1\\ Step/s:\\
3. Log-in to Jarvis Portal\\
4. Go to Transaction History\\
5. Click Non-Fin then Select device Mangement checkbox in Available Transaction Types dropdown\\
6. Search a number\\
7. Click Device History Tab\\
8. Validate the result in table\\","Unlinked device should display in Device History\\
Header 'link_ID' should be displayed under Device Information Tab\\
link_id value is link id from the list device API (link ID of the device to be unlink)\\
Header 'cxm_user_id' should be displayed under Device Information Tab\\
if unlink was initiated by cxm agent: cxm_user_id value = agent's ldap username (Sample: zjuan-d.cruz)\\
Header 'link_date' should be displayed under Device Information Tab\\
link_date"" this is the date when the device was linked to another device..\\
Format:  MMMM DD, YYYY   HH:MM(AM/PM)\\
Header 'unlink_date' should be displayed under Device Information Tab\\
this is the date when the device was unlink to another device.\\
Format:  MMMM DD, YYYY   HH:MM(AM/PM)\\
sample: Aug 17, 2023  10:10AM""\\
Should be sorted by Link Date from oldest to latest"
Passed,,C1216347,[WEB] [DevHisPagination] Verify the pagination behavior if User clicks on selected page,CXM-Device Management Enhancements,3,Automatable,Not Started,web,New,"Sprint Testing, FE Regression, FVT, Cleanpass Project","1. User's GP should have access on Jarvis Portal\\
2. User's should have LDAP account\\
3. User should have latest GCash Build for testing\\ \\","1. Log-in the configured number\\
2. Check if 1d1a screen will display\\
3. Go back to log-in\\ Step/s on Before Pagination\\
4. Go to Jarvis\\
5. Click Transaction History on Navigation Bar\\
6. Click Non-Fin toggle button\\
7. on Available Transactions Type dropdown, check the box of DEVICE MANAGEMENT\\
8. on DEVICE MANAGEMENT screen, type the mobile number\\
9. Click search\\
10. Go to Device History tab\\
11. Check the records and pagination\\ Step/s for cronjob\\
12. Coordinate with the dev\\ Step/s on After Pagination\\
13. Go to Jarvis\\
14. Click Transaction History on Navigation Bar\\
15. Click Non-Fin toggle button\\
16. on Available Transactions Type dropdown, check the box of DEVICE MANAGEMENT\\
17. on DEVICE MANAGEMENT screen, type the mobile number\\
18. Click search\\
19. Go to Device History tab\\
20. Check the pagination behavior\\","Page number should adjust\\
ex. user select page 2, pagination should be ""First Page 2 3 4 5 6 7 Last Page"""
Passed,,C1216348,[WEB] [DevHisPagination] Verify the first page and last page behavior if User clicks on selected page,CXM-Device Management Enhancements,3,Automatable,Not Started,web,New,"Sprint Testing, FE Regression, FVT, Cleanpass Project","1. User's GP should have access on Jarvis Portal\\
2. User's should have LDAP account\\
3. User should have latest GCash Build for testing\\ \\","1. Log-in the configured number\\
2. Check if 1d1a screen will display\\
3. Go back to log-in\\ Step/s on Before Pagination\\
4. Go to Jarvis\\
5. Click Transaction History on Navigation Bar\\
6. Click Non-Fin toggle button\\
7. on Available Transactions Type dropdown, check the box of DEVICE MANAGEMENT\\
8. on DEVICE MANAGEMENT screen, type the mobile number\\
9. Click search\\
10. Go to Device History tab\\
11. Check the records and pagination\\ Step/s for cronjob\\
12. Coordinate with the dev\\ Step/s on After Pagination\\
13. Go to Jarvis\\
14. Click Transaction History on Navigation Bar\\
15. Click Non-Fin toggle button\\
16. on Available Transactions Type dropdown, check the box of DEVICE MANAGEMENT\\
17. on DEVICE MANAGEMENT screen, type the mobile number\\
18. Click search\\
19. Go to Device History tab\\
20. Check the pagination behavior\\","First Page button will be displayed. Clicking this button will redirect the User to the First Page.\\
Last Page button will be displayed. Clicking this button will redirect the User to the Last Page."
Passed,,C1216349,[WEB] [DevHistPagination] Verify the pagination redirection if User reaches the last page,CXM-Device Management Enhancements,3,Automatable,Not Started,web,New,"Sprint Testing, FE Regression, FVT, Cleanpass Project","1. User's GP should have access on Jarvis Portal\\
2. User's should have LDAP account\\
3. User should have latest GCash Build for testing\\ \\","1. Log-in the configured number\\
2. Check if 1d1a screen will display\\
3. Go back to log-in\\ Step/s on Before Pagination\\
4. Go to Jarvis\\
5. Click Transaction History on Navigation Bar\\
6. Click Non-Fin toggle button\\
7. on Available Transactions Type dropdown, check the box of DEVICE MANAGEMENT\\
8. on DEVICE MANAGEMENT screen, type the mobile number\\
9. Click search\\
10. Go to Device History tab\\
11. Check the records and pagination\\ Step/s for cronjob\\
12. Coordinate with the dev\\ Step/s on After Pagination\\
13. Go to Jarvis\\
14. Click Transaction History on Navigation Bar\\
15. Click Non-Fin toggle button\\
16. on Available Transactions Type dropdown, check the box of DEVICE MANAGEMENT\\
17. on DEVICE MANAGEMENT screen, type the mobile number\\
18. Click search\\
19. Go to Device History tab\\
20. Check the pagination behavior\\","Redirected to the last page ex. 15\\
Default number of logs per page is 10\\
Selected page number will be in Bold format\\
Page number should adjust\\
ex. user select last page, pagination should be ""First Page 10 11 12 13 14 15 Last Page"""
Passed,,C1499678,[WEB]Validate if Adjustment Approver can upload csv file with 1000 mobtels,CXM Service Guarantee - Correction,2,Automatable,Not Started,web,New,"Sprint Testing, BE Regression","1. The Gcash app is accessible.
2. The SDK should already be enabled for the programming of mobile applications.
3. The Gcash user Fully Verified (L3)
4. Should be connected to GP
5. Should have an access in GCBizadmin
6. Check the template for Test data need https://docs.google.com/spreadsheets/d/12hvkJg3WAdN2hzgMCCykOAHfLD8TiYGoLeI_-Ne95ag/edit#gid=1766939058
7. Created 1,000 mobtels
8. Adjustment Approver account","1. Login to Transaction Query Portal https://buservice-sit.saas.mynt.xyz/login.htm?goto=http%3A%2F%2Fgcbizadmin-sit.saas.mynt.xyz%2Ftransaction%2Fquery
2. Click Adjustment in the Left Panel
3. Go to Bulk Adjustment
4. Select Adjustment Type
5. Upload Bulk Adjustment with 1k mobtels CSV File Template
6. Click Next button
7. Click Submit button in Notes Page
8. Check if file is successfuly uploaded","After success Upload of file , prompt should be “Successfully uploaded unbinding record/s.”
After success submission of the bulk unbinding request.
Redirect to new screen “Bulk Unbinding”
Change step title icon from 2 to check icon
Change the background color of Check Icon to blue.
Show the success page and the generated transaction reference number.
Sample:
Congratulations!
Your ticket ID is UB2026000021.
Check bulk unbinding query for ticket status.
Redirecting to Unbinding Detail Page in 5 seconds...
Unbinding Details Page should be hyperlink
User should redirect to the unbinding details page after 5seconds.
After waiting for 5secs
Redirect to new screen “Unbinding Details Page”
Section title “Ticket
”
Section Body fields
Filename should be the file name of the uploaded file
Merchant should be the merchant choose in Bulk unbinding.
Uploaded Timestamp should be the Date and time when the file is uploaded
format sample (Jan 14 2026 16:54:00)
Upload by should be the name and email of who uploaded the file
Total Entries should be the count of mobtels inside the file
Status should be Initiated
Response Code and Response Message should be -
Buttons should be present “Approve, Reject, Download and Back”
Records every page is 10 only
Should have pagination
1st Section tab is “Entries Details”
Merchant should be the merchant choose in Bulk unbinding.
Zendesk_Ticket should be the value in the raw file
Mobile Number should be the value in the raw file
Remarks default value is OK
Status should be Initiated
2nd Section tab is Notes
if you put notes in Bulk Unbinding it should have fetch the inputted value
if you did not put note in Bulk Unbinding default value should be “Not Provided”
3rd Section tab is Operation Log
Button should be present “Download Logs”
Action should have “Initiated and View”
Username should be the one who upload, view, approved, completed and rejected
Timestamp should be the date and time action done
format sample (Jan 14 2026 16:54:00)
Remarks and Status default value is -
Records every page is 10 only
Should have pagination"
Passed,,C1499679,[WEB]Validate if Adjustment Approver can’t upload file with more than 1000 mobtels,CXM Service Guarantee - Correction,2,Automatable,Not Started,web,New,"Sprint Testing, BE Regression","1. The Gcash app is accessible.
2. The SDK should already be enabled for the programming of mobile applications.
3. The Gcash user Fully Verified (L3)
4. Should be connected to GP
5. Should have an access in GCBizadmin
6. Check the template for Test data need https://docs.google.com/spreadsheets/d/12hvkJg3WAdN2hzgMCCykOAHfLD8TiYGoLeI_-Ne95ag/edit#gid=1766939058
7. Created 1,001 mobtels
8. Adjustment Approver account","1. Login to Transaction Query Portal https://buservice-sit.saas.mynt.xyz/login.htm?goto=http%3A%2F%2Fgcbizadmin-sit.saas.mynt.xyz%2Ftransaction%2Fquery
2. Click Adjustment in the Left Panel
3. Go to Bulk Adjustment
4. Select Adjustment Type
5. Upload Bulk Adjustment with 1k mobtels CSV File Template
6. Click Next button
7. Click Submit button in Notes Page
8. Check if  prompt “The number of rows exceeds the maximum of 1000. Please check your CSV file and upload again.” displayed",Prompt should be “The number of rows exceeds the maximum of 1000. Please check your CSV file and upload again.”
Passed,,C1499680,[WEB]Validate if Adjustment Approver can download the unbinding request file with 1000 mobtels,CXM Service Guarantee - Correction,2,Automatable,Not Started,web,New,"Sprint Testing, BE Regression","1. The Gcash app is accessible.
2. The SDK should already be enabled for the programming of mobile applications.
3. The Gcash user Fully Verified (L3)
4. Should be connected to GP
5. Should have an access in GCBizadmin
6. Check the template for Test data need https://docs.google.com/spreadsheets/d/12hvkJg3WAdN2hzgMCCykOAHfLD8TiYGoLeI_-Ne95ag/edit#gid=1766939058
7. Created 1,000 mobtels
8. Adjustment Operator account","1. Login to Transaction Query Portal https://buservice-sit.saas.mynt.xyz/login.htm?goto=http%3A%2F%2Fgcbizadmin-sit.saas.mynt.xyz%2Ftransaction%2Fquery
2. Click Adjustment in the Left Panel
3. Go to Bulk Adjustment
4. Select Adjustment Type
5. Upload Bulk Adjustment with 1k mobtels CSV File Template
6. Click Next button
7. Click Submit button in Notes Page
8. Check if file is successfuly uploaded
9. On summary, click the download button
10. After successfully downloaded check the excel file if the record is correct","System should generate file and a pop-up on portal for success download: is
""Successfuly downloaded
_
.csv containing records
File contents should match the information found on the transaction details tab of the Unbinding request."
Passed,,C1499681,[WEB]Validate if Adjustment Operator can upload csv file with 1000 mobtels,CXM Service Guarantee - Correction,2,Automatable,Not Started,web,New,"Sprint Testing, BE Regression","1. The Gcash app is accessible.
2. The SDK should already be enabled for the programming of mobile applications.
3. The Gcash user Fully Verified (L3)
4. Should be connected to GP
5. Should have an access in GCBizadmin
6. Check the template for Test data need https://docs.google.com/spreadsheets/d/12hvkJg3WAdN2hzgMCCykOAHfLD8TiYGoLeI_-Ne95ag/edit#gid=1766939058
7. Created 1,000 mobtels
8. Adjustment Operator account","1. Login to Transaction Query Portal https://buservice-sit.saas.mynt.xyz/login.htm?goto=http%3A%2F%2Fgcbizadmin-sit.saas.mynt.xyz%2Ftransaction%2Fquery
2. Click Adjustment in the Left Panel
3. Go to Bulk Adjustment
4. Select Adjustment Type
5. Upload Bulk Adjustment with 1k mobtels CSV File Template
6. Click Next button
7. Click Submit button in Notes Page
8. Check if file is successfuly uploaded","After success Upload of file , prompt should be “Successfully uploaded unbinding record/s.”
After success submission of the bulk unbinding request.
Redirect to new screen “Bulk Unbinding”
Change step title icon from 2 to check icon
Change the background color of Check Icon to blue.
Show the success page and the generated transaction reference number.
Sample:
Congratulations!
Your ticket ID is UB2026000021.
Check bulk unbinding query for ticket status.
Redirecting to Unbinding Detail Page in 5 seconds...
Unbinding Details Page should be hyperlink
User should redirect to the unbinding details page after 5seconds.
After waiting for 5secs
Redirect to new screen “Unbinding Details Page”
Section title “Ticket
”
Section Body fields
Filename should be the file name of the uploaded file
Merchant should be the merchant choose in Bulk unbinding.
Uploaded Timestamp should be the Date and time when the file is uploaded
format sample (Jan 14 2026 16:54:00)
Upload by should be the name and email of who uploaded the file
Total Entries should be the count of mobtels inside the file
Status should be Initiated
Response Code and Response Message should be -
Buttons should be present “Approve, Reject, Download and Back”
Records every page is 10 only
Should have pagination
1st Section tab is “Entries Details”
Merchant should be the merchant choose in Bulk unbinding.
Zendesk_Ticket should be the value in the raw file
Mobile Number should be the value in the raw file
Remarks default value is OK
Status should be Initiated
2nd Section tab is Notes
if you put notes in Bulk Unbinding it should have fetch the inputted value
if you did not put note in Bulk Unbinding default value should be “Not Provided”"
